Unnamed: 0,track_name,album,artist,release_year,track_data_concat,first_genre_assigned,energy,danceability,duration_ms,mode,spotify_url,artist_image,album_cover,position,period
32,As Coisas Tão Mais Lindas,Com Você ... Meu Mundo Ficaria Completo,Cássia Eller,1999,"As Coisas Tão Mais Lindas
Cássia Eller
Com Você ... Meu Mundo Ficaria Completo
1999",brazilian rock,0.469,0.506,219159,1,https://open.spotify.com/track/1uj3lytRg3W1CskYIrIsqp,https://i.scdn.co/image/ab6761610000e5eb173e5ef74a4a36decb5dc213,https://i.scdn.co/image/ab67616d0000b273b503cb2355164fd622cd30a2,33,short_term
33,Só me ligar,ICARUS,BK,2022,"Só me ligar
BK
ICARUS
2022",brazilian hip hop,0.561,0.809,193697,0,https://open.spotify.com/track/31ySVMbs7U8LOuy7w4McR9,https://i.scdn.co/image/ab6761610000e5eb8d9d1f5920652fc8c6d359a7,https://i.scdn.co/image/ab67616d0000b2737b2dba12da4b7f8e18cba810,34,short_term
34,Should've Been Me,Laurel Hell,Mitski,2022,"Should've Been Me
Mitski
Laurel Hell
2022",brooklyn indie,0.569,0.51,191775,0,https://open.spotify.com/track/5FQ9NDyx3KZXhovWWq4Gxo,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273d8041a531487d0e0e4cfb41f,35,short_term
35,Foto armado,ICARUS,BK,2022,"Foto armado
BK
ICARUS
2022",brazilian hip hop,0.391,0.697,144543,1,https://open.spotify.com/track/6B9jl8ZF7qlrfioQOULLRF,https://i.scdn.co/image/ab6761610000e5eb8d9d1f5920652fc8c6d359a7,https://i.scdn.co/image/ab67616d0000b2737b2dba12da4b7f8e18cba810,36,short_term
36,Hoje Eu Quero Me Perder,Hoje Eu Quero Me Perder,Lagum,2020,"Hoje Eu Quero Me Perder
Lagum
Hoje Eu Quero Me Perder
2020",belo horizonte indie,0.662,0.804,173077,0,https://open.spotify.com/track/6ZUArSVO6hPj6e27tD3OyT,https://i.scdn.co/image/ab6761610000e5eb3e88d7bb247be86ce78edb77,https://i.scdn.co/image/ab67616d0000b273efa0bfcbd37289efee7ca086,37,short_term
37,Go To Town,Amala,Doja Cat,2018,"Go To Town
Doja Cat
Amala
2018",dance pop,0.7,0.71,217813,1,https://open.spotify.com/track/6iOvnACn4ChlAw4lWUU4dd,https://i.scdn.co/image/ab6761610000e5eb727a2ac15afe659be999beba,https://i.scdn.co/image/ab67616d0000b273c42f6b7b41537a5fae06840a,38,short_term
38,O que é o amor?,Bom Mesmo é Estar Debaixo D'Água Deluxe,Luedji Luna,2022,"O que é o amor?
Luedji Luna
Bom Mesmo é Estar Debaixo D'Água Deluxe
2022",afrofuturismo brasileiro,0.449,0.328,131294,0,https://open.spotify.com/track/72Z9qAuAu9kJ5wB9tq33Pe,https://i.scdn.co/image/ab6761610000e5ebd3f8504b5d87acb06be96330,https://i.scdn.co/image/ab67616d0000b2732ae2cf67a641f0c1b42eac96,39,short_term
39,Sou Ronaldo,Sou Ronaldo,Marcelo D2,2006,"Sou Ronaldo
Marcelo D2
Sou Ronaldo
2006",boom bap brasileiro,0.627,0.751,215600,0,https://open.spotify.com/track/7vQLaAneGCaz53U9rC44Wd,https://i.scdn.co/image/ab6761610000e5eb61d293f83494e0b0df152124,https://i.scdn.co/image/ab67616d0000b273fd04a86fd7a222ffad2dff89,40,short_term
40,I Want You,"Retired from Sad, New Career in Business",Mitski,2013,"I Want You
Mitski
Retired from Sad, New Career in Business
2013",brooklyn indie,0.0655,0.339,183792,1,https://open.spotify.com/track/7FHj19QQigvMH1onMYRNLn,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b27334b5e51adeea6f1aa2285ce3,41,short_term
41,Pele,Bom Mesmo é Estar Debaixo D'Água Deluxe,Luedji Luna,2022,"Pele
Luedji Luna
Bom Mesmo é Estar Debaixo D'Água Deluxe
2022",afrofuturismo brasileiro,0.386,0.662,209383,0,https://open.spotify.com/track/0PtF5b2htPW0SQ53ouE6VP,https://i.scdn.co/image/ab6761610000e5ebd3f8504b5d87acb06be96330,https://i.scdn.co/image/ab67616d0000b2732ae2cf67a641f0c1b42eac96,42,short_term
42,Licença Aqui,Doozicabraba e a Revolução Silenciosa,Emicida,2011,"Licença Aqui
Emicida
Doozicabraba e a Revolução Silenciosa
2011",afrofuturismo brasileiro,0.64,0.562,226440,1,https://open.spotify.com/track/3YEu2zvGsP1j30P7MdM8Uk,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b27319f2f5dfee3023fb8630c08e,43,short_term
43,Bielzinho / Bielzinho,<atrás/além>,O Terno,2019,"Bielzinho / Bielzinho
O Terno
<atrás/além>
2019",brazilian indie,0.524,0.584,227093,1,https://open.spotify.com/track/4BJZ7peGeJMaEDStS65Mol,https://i.scdn.co/image/ab6761610000e5eb38fb1dfbcae1006ba225b4c3,https://i.scdn.co/image/ab67616d0000b273c32340c5ed875c13a0a7173a,44,short_term
44,Brooklyn Baby,Ultraviolence (Deluxe),Lana Del Rey,2014,"Brooklyn Baby
Lana Del Rey
Ultraviolence (Deluxe)
2014",art pop,0.0949,0.404,351640,1,https://open.spotify.com/track/1NZs6n6hl8UuMaX0UC0YTz,https://i.scdn.co/image/ab6761610000e5ebc5903678d3db18e271e42be0,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,45,short_term
45,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,2019,"Thunderclouds (feat. Sia, Diplo, and Labrinth)
Sia
LABRINTH, SIA & DIPLO PRESENT... LSD
2019",australian dance,0.489,0.69,187027,1,https://open.spotify.com/track/4lJNen4SMTIJMahALc3DcB,https://i.scdn.co/image/ab6761610000e5ebe8637c96a7aa2917eae3c54d,https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b,46,short_term
46,Liquid Smooth,Lush,Mitski,2012,"Liquid Smooth
Mitski
Lush
2012",brooklyn indie,0.124,0.424,169773,0,https://open.spotify.com/track/3XCveEutwTaDiekRkkfdp9,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b27318bbdba0da26e4ae050fb1b8,47,short_term
47,No Stress,ZAM ZAM,Lamparina,2021,"No Stress
Lamparina
ZAM ZAM
2021",nova mpb,0.545,0.808,212433,0,https://open.spotify.com/track/2fIdSo9QPKWtlc29d9L0u3,https://i.scdn.co/image/ab6761610000e5ebac984131a4d86ea159fe6212,https://i.scdn.co/image/ab67616d0000b273286cd09815629e7be8df40c7,48,short_term
48,Chegamos Ao Fim - Ao Vivo,Mtv Ao Vivo Arlindo Cruz - Vol. 2,Arlindo Cruz,2009,"Chegamos Ao Fim - Ao Vivo
Arlindo Cruz
Mtv Ao Vivo Arlindo Cruz - Vol. 2
2009",pagode,0.804,0.507,200093,1,https://open.spotify.com/track/0rUFpKZFlF6bCv1P4pfzxp,https://i.scdn.co/image/ab6761610000e5eb181873f93056642d7b340839,https://i.scdn.co/image/ab67616d0000b27301f256c71c4d63e0f5bc75e7,49,short_term
49,Brick by Boring Brick,Brand New Eyes,Paramore,2009,"Brick by Boring Brick
Paramore
Brand New Eyes
2009",candy pop,0.5,0.436,253947,1,https://open.spotify.com/track/1a9YW7fATU351ok4zWjU7a,https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865,https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6,50,short_term
